"0","#install.packages(""DBI"", ""RMySQL"")"
"2","Warning messages:
"
"2","1: package ‘RMySQL’ was built under R version 4.0.3 
"
"2","2: package ‘DBI’ was built under R version 4.0.3 
"
"0","library(DBI)"
"0","library(RMySQL)"
"0",""
"0","db_user <- 'admin'"
"0","db_password <-'Hudk4051'"
"0","db_name <- 'oudb'"
"0","db_host <- 'database-1.crtjgff03ugl.us-east-2.rds.amazonaws.com'"
"0","db_port <- 3306"
"0",""
"0","mydb <- dbConnect(MySQL(), user = db_user, password = db_password, dbname = db_name, host = db_host, port = db_port)"
"0",""
"0","summary(mydb)"
"1","<"
"1",""
"1",""
"1",""
"1","MySQLConnection:"
"1",""
"1","0,0"
"1",""
"1",">
"
"1","  User:  "
"1"," "
"1","admin"
"1"," "
"1","
"
"1","  Host:  "
"1"," "
"1","database-1.crtjgff03ugl.us-east-2.rds.amazonaws.com"
"1"," "
"1","
"
"1","  Dbname:"
"1"," "
"1","oudb"
"1"," "
"1","
"
"1","  Connection type:"
"1"," "
"1","database-1.crtjgff03ugl.us-east-2.rds.amazonaws.com via TCP/IP"
"1"," "
"1","
"
"1","
Results:
"
